DATE,CREACBW027SBOG
2011-05-18,1460.2461
2011-05-25,1458.8329
2011-06-01,1458.1209
2011-06-08,1456.6163
2011-06-15,1454.3497
2011-06-22,1452.8898
2011-06-29,1449.8331
2011-07-06,1449.4872
2011-07-13,1446.6824
2011-07-20,1445.03
2011-07-27,1442.6489
2011-08-03,1440.2628
2011-08-10,1437.7405
2011-08-17,1436.4161
2011-08-24,1436.0461
2011-08-31,1436.4724
2011-09-07,1434.8313
2011-09-14,1432.8203
2011-09-21,1432.5496
2011-09-28,1431.1128
2011-10-05,1428.3703
2011-10-12,1427.0377
2011-10-19,1425.0313
2011-10-26,1425.2431
2011-11-02,1425.1069
2011-11-09,1425.9618
2011-11-16,1424.5909
2011-11-23,1422.3425
2011-11-30,1421.5862
2011-12-07,1420.4987
2011-12-14,1418.9733
2011-12-21,1417.5395
2011-12-28,1417.0452
2012-01-04,1417.2819
2012-01-11,1416.2042
2012-01-18,1415.7241
2012-01-25,1415.0999
2012-02-01,1432.8055
2012-02-08,1430.4546
2012-02-15,1429.1412
2012-02-22,1429.3777
2012-02-29,1430.1452
2012-03-07,1429.8049
2012-03-14,1429.6834
2012-03-21,1429.128
2012-03-28,1428.9006
2012-04-04,1431.5641
2012-04-11,1430.9362
2012-04-18,1431.2326
2012-04-25,1427.9034
2012-05-02,1426.0356
2012-05-09,1425.3906
2012-05-16,1422.3421
2012-05-23,1422.0598
2012-05-30,1422.4621
2012-06-06,1421.8206
2012-06-13,1420.6854
2012-06-20,1421.6517
2012-06-27,1422.9856
2012-07-04,1423.1444
2012-07-11,1422.9381
2012-07-18,1422.139
2012-07-25,1421.7405
2012-08-01,1420.2744
2012-08-08,1420.437
2012-08-15,1419.6941
2012-08-22,1420.1971
2012-08-29,1421.1376
2012-09-05,1420.8823
2012-09-12,1422.1196
2012-09-19,1421.1491
2012-09-26,1420.0337
2012-10-03,1421.562
2012-10-10,1422.435
2012-10-17,1421.7758
2012-10-24,1420.6477
2012-10-31,1422.8649
2012-11-07,1423.3262
2012-11-14,1423.8792
2012-11-21,1423.9969
2012-11-28,1425.4638
2012-12-05,1427.1217
2012-12-12,1426.9254
2012-12-19,1427.7669
2012-12-26,1428.7877
2013-01-02,1431.6617
2013-01-09,1432.6883
2013-01-16,1433.3157
2013-01-23,1433.7808
2013-01-30,1432.6434
2013-02-06,1432.3818
2013-02-13,1431.5865
2013-02-20,1431.0906
2013-02-27,1430.462
2013-03-06,1432.2204
2013-03-13,1432.0175
2013-03-20,1433.579
2013-03-27,1434.2675
2013-04-03,1434.7957
2013-04-10,1435.9792
2013-04-17,1436.884
2013-04-24,1437.6467
2013-05-01,1442.6874
2013-05-08,1443.6136
2013-05-15,1444.2712
2013-05-22,1445.0333
2013-05-29,1445.5178
2013-06-05,1446.7161
2013-06-12,1447.8052
2013-06-19,1450.0308
2013-06-26,1450.1512
2013-07-03,1451.2643
2013-07-10,1452.7195
2013-07-17,1455.3483
2013-07-24,1456.9172
2013-07-31,1460.7415
2013-08-07,1462.4595
